"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393586592.17877","1346423463.68715","1266650837.98883","1282296089.38547","1458098882.68156","1606588826.81564","1595335195.53073","1742107262.56983","1863013966.48045","1606810055.86592","1477511731.84358","1839933519.55307","1911810055.86592","2088122905.02793","2184551396.64804","2158564245.81006","2142859776.53631","2243516759.77654","2367132402.23464","2486900000","1347955027.93296","2154231620.11173","",
"Africa Eastern and Southern","AFE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","49638659270.3849","42114972244.5773","36536172831.4265","37292816998.77","35187041598.4534","32768526870.8076","37444230260.0946","46819150142.2527","49218891980.6577","48729233465.391","52206066819.0528","51300650916.7287","52029313472.8947","54615931371.1542","57933047754.9869","66862369142.2426","69672062454.9669","70956821887.7528","67079391416.2498","65971902008.4412","73830641798.0359","70076904898.7592","75096820873.9933","92016879856.8744","114926863346.82","143497347213.244","172223758408.554","213244202696.578","253652700576.199","196631437468.858","252414508719.531","298234400785.367","285214620707.819","283430236989.198","282158591738.611","217054651120.912","194852106511.537","227671366991.492","255453481771.513","239105566577.654","205571874990.843","279199119865.853","305673315531.647",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1744366390.67942","1916475264.95861","1952530593.88616","2086227005.21951","2427139290.14544","2667226111.79102","2752257991.93057","2683668705.6583","2938863909.3076","3385431104.92276","4022839554.73746","3984634422.6099","4862042562.10899","7137659330.75608","13470494535.6127","12589077579.1867","15287988480.2228","19358673485.0616","18268475446.5789","25305394688.272","36601485650.8288","29481644654.3589","24129352832.0667","18859694992.6528","19477749769.3022","20790856828.1314","17801459239.7395","22330120585.9434","20669408400.3449","27870284326.5194","30965149690.1136","30670099173.4681","30460322681.9711","23116224221.6868","21899342911.3076","32547544109.3709","36266256336.5031","40183959421.8924","32701079204.0548","36503351800.7335","50875499352.4476","45598505954.0754","49514027019.2987","60085862188.5188","66800584286.061","84009810054.881","125232343873.221","123290375451.28","169608869971.982","123016203791.625","175919617518.744","232823819602.75","250315302204.904","196335613107.133","207859337684.368","133485596603.702","116869041969.344","142897397952.456","171223269078.571","176270828039.534","121466755597.237","161883088868.519","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8187952996.90344","6736815759.64185","8725779845.44372","9676099631.48667","13749775747.3132","24225651602.6192","33245117515.735","44319670864.9517","64168422876.3819","41310610564.9737","50280434505.8769","66395107686.3433","69924162329.6285","67697415578.9142","61341442498.8622","25951752164.8067","14017381688.2126","20004932389.8365","31767752271.8422","28271709349.1708","19110949393.4334","29843731084.9067","",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","335069933.049631","319090900.273501","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407401.627506","302465325.386337","371808926.248836","230303544.648943","291949986.768987","540977914.554671","700083398.144547","836717875.539468","910729684.956035","1169850310.53175","1596261928.9261","1853023815.36831","2242665609.72017","3016116360.17433","3259293764.261","3040047650.40664","3337086719.47659","3769456452.61203","3565050523.413","3694413349.84187","3732057451.6496","3104897786.36357","3437126527.98196","4110301305.54485","4785179295.76268","4821429203.84462","3435540416.01473","5613909458.07573","7073881662.21893",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306154993539.269","319435873097.348","375640656062.654","502205272083.889","673854040537.925","819642607931.491","952847445807.17","1262307207776.36","895194157531.127","1113622587173.68","1359278686312.88","1524808260226.57","1508449904011.84","1422981884385.75","1049031725779.1","956981984023.954","1098317124642.11","1288971124737.95","1248196222438.43","936112996287.217","","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","401366643975.494","361252552756.978","360626276378.489","384043567052.417","392863172226.004","404046289993.193","335237576582.709","","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","1147183934.48134","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.58299","7665724159.60188","4508960596.80231","3895791554.63367","5445263189.73462","7663966255.62989","9515669466.75192","8873730058.64697","10345475059.3627","8641279278.3558","8566904947.15056","12094686105.3258","10006623327.0204","14643477444.549","14561091033.0362","15095266939.7781","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97809990815.5384","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842603994.0558","72860558232.0729","75766599511.9532","80259483024.7845","64041625025.813","87867655490.9869","106166431311.882",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789960888.143741","843376623.376623","506852687.730817","567247614.979354","517226106.17727","351337833.404042","371135639.068689","332378719.934774","359865213.08226","383089746.944268","423629630.453398","511522177.782582","661384145.809715","855676348.11756","1008274439.96626","1338474939.13173","1413899570.34571","1674567001.77677","1663675189.62427","1268730267.15521","1828759691.82376","2284326937.44601","2926877150.11057","3153322764.25738","3315721290.0021","3137020866.05732","3558717727.44331","4405338884.48097","4907543380.18903","5631685780.5244","3762799932.30001","4898064989.97558","9298973764.54656",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","483000000","458000000","429000000","428000000","429000000","362000000","436000000","399000000","426000000","334000000","",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","766444444.444444","761740740.740741","700925925.925926","702518518.518518","773666666.666667","813111111.111111","825222222.222222","814814814.814815","777222222.222222","746740740.740741","807407407.407407","931925925.925926","951629629.62963","956703703.703704","1014518518.51852","1091444444.44444","980185185.185185","914222222.222222","938518518.518518","948148148.148148","952148148.148148","1027296296.2963","1016370370.37037","1043111111.11111","994427259.259259","1036233333.33333","1196203185.18519","598873555.555555","","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413600386.46569","2437120390.23172","2773120444.03205","2796640447.79807","3549280568.3108","3428320548.94269","3525760564.54478","3915520626.95316","4016320643.09326","4378080701.01828","5354720857.3979","5715360915.14359","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14184303314.6614","15449644413.8564","16122875995.635","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060326310.4429","26235911918.6712","27497316926.494","27321628427.5322","29290629962.9434","37674393223.7509","45333948552.313","47071497965.5832","52248576632.9071","54226821169.7708","54747048903.8786","58015219647.1809","65793733293.7333","75814064356.3075","83327485616.573","78166587533.0665","71285875422.9853","80695880078.8573","84096737060.6264","82033760848.6648","89138031450.2038","105490823730.26","126785667301.888","148587325338.375","172570464002.512","212794765526.785","213711463549.354","227408518871.585","299792912552.444","332584681561.011","315040645159.582","309608252618.901","271035420848.555","232531917194.505","281624746215.152","312410506327.825","336242202170.134","318576621793.56","342761837206.14","432461791046.896",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936226.51495","4828104967.50743","5940800642.89541","7945377046.8761","10245142815.0766","11254488425.3773","12352078699.0872","14409079177.4207","18066572538.6146","22832410705.0952","26006990002.1272","23441765163.297","22623842865.2093","21981186609.4684","22265892304.5183","24230778797.5525","31689309598.9184","38996595559.4253","44096573052.4908","46607267810.7124","59423124773.0848","60116254566.8827","64678675181.5677","59900881343.9016","65453950126.4908","80827705745.8714","81256732518.8459","78792186266.7719","83704902178.7461","85506764813.7261","85517701539.3727","88123586542.1655","97162437618.4825","116896445115.898","141284763656.047","153683280004.98","170970396756.212","204559320050.005","230062733001.008","181624745272.726","201088694407.172","232888437032.784","220969210537.828","229899623200.708","236280892259.341","202784894360.508","207444081442.664","225534464183.708","252348201943.933","247908346659.76","224631996609.724","268527420305.887","286559955029.923",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3885196374.62236","2440000000","383311808.118081","902385596.3991","294957728.987884","785310212.827904","791860222.488854","1150456356.05181","1009305138.60034","1281380203.06622","2118054168.34413","2368582114.92689","2667039260.3444","3056572037.1513","4235086046.49151","8336815027.37934","13953852783.3275","22516214810.0105","32132510810.9699","22870715574.2634","28732245203.09","37215153272.871","36912711339.5956","35905449552.591","32558910431.9195","20060048605.928","17580761255.5224","19839877247.4212","25484220742.9338","23629764705.8824","15208764705.8824","25487647058.8235","47274117647.0588",
