"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","274636871.50838","333798882.681564","467821229.05028","522290502.793296","738324022.346369","1576368715.0838","1628324022.34637","1740167597.76536","1858268156.42458","2042513966.48044","2590223463.68715","2749888268.15642","2111340782.12291","1671173184.35755","1582860335.19553","1694832402.23464","1754430167.59777","1876402234.63688","4344301675.97766","5528813425.82695","5647605675.95685","6386815642.4581","7000446927.3743","3293966480.44692","2259720670.39106","7046201117.31843","3020670391.06146","2471623248.04469","2409823859.77653","2306305827.93296","2198156464.34301","2267080085.03411","2543765087.16547","2488068336.29307","1790058122.00737","2108922688.73961","2637619052.69763",
"Africa Eastern and Southern","AFE","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","23652315405.8346","28164333885.5846","34137174864.3234","48811926319.483","52255965496.5748","44201677257.6722","40145656008.1647","39522626794.7439","33423808517.7624","35815687743.7726","42169700400.1335","49415500052.0193","50554345191.6912","55000155214.4254","53810466861.3921","57180560163.4316","57632585521.3693","64418754548.8355","75844732945.8582","78236459101.4003","82910179046.2064","82226637433.0986","79977800164.9859","79853724035.9707","80379536511.444","82770956042.6334","104382933087.554","134086603383.625","164317034990.033","197152595202.612","246161140820.242","300635758837.569","248348241110.033","293882155997.101","346213017116.615","358687279390.119","375082047305.52","377955521780.927","326200553962.153","291218496782.244","319472583144.084","344273015259.268","330932401860.978","272872424477.88","341859951113.351","418348331859.997",
"Afghanistan","AFG","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","797400000","924500000","1080500000","989600000","1062900000","1419400000","1084300000","1354700000","1072100000","863300000","734800000","","","","","","","","","","","","","","","","","","","3873396518.11542","4194029283.02967","5923973939.4894","7360392804.04705","9891159037.49738","10184330518.3918","8441107576.55342","8569286770.03988","7387764647.02882","8007677287.97713","8086339277.10563","7416724393.11427","7034026743.61337","","",
"Africa Western and Central","AFW","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","26391510149.2505","29165147443.0239","31799188532.8631","42133289713.9494","46790309970.9685","38601411985.2041","31846475142.2872","27460173166.2264","27881143103.6105","22236738235.9083","25915461557.2442","25965774291.8162","26000510414.0648","31732615495.5605","34996466263.6623","33950833892.3653","34396249015.8302","32616863535.5385","25883705110.6482","27783816621.4314","27824344408.8927","28141559960.9122","41800725225.2998","41618048546.3363","47067277019.6583","48306418534.9585","60470719353.0441","64177492730.4359","84853951124.0156","98941901277.36","131870640995.428","166934446122.923","143157591157.854","180845508261.895","223753034932.555","218593022079.873","222284063424.817","226046416122.478","193423464636.76","157914093815.26","174035632340.339","213781621210.406","253346225117.383","205019980903.461","220414575482.029","",
"Angola","AGO","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2256000000","1906000000","2020000000","3121000000","3292000000","4161400000","4243400000","4828396000","3851900000","3764700000","4302257000","5980445000","6235550000","5717790000","7099810000","7454210000","8281270000","8734464801.86","10539996160","13156086146.21","19200860208.5178","22611733343.4","34526294540.22","57261377694.671","48783824988","43642118667.18","53805471322.3596","56529763171.9595","60111411120.5794","63033383446.1602","44042657939.7134","31271502805.9801","36001581967.7029","34165372003.5361","30508228605.271","20605633409.7873","24983956644.1922","37437072147.9514",
"Albania","ALB","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","375300000","404100000","461100000","406000000","373400000","362900000","337000000","336300000","409200000","484200000","486900000","340300000","667300000","794400000","774800000","864600000","1123300000","697612500","792180000","956400000","1359600000","1608700000","1848090000","2290296334.14309","2921069546.113","3552961514.68275","4142215603.40901","5429247205.62995","7146688209.08859","6598438373.47791","6279139430.06637","7007740981.26057","6185327535.83752","6159382111.77532","6562951490.63424","5351583367.82557","5700813018.9323","6549610684.31047","7334165155.14505","7597487229.14169","6307664723.93474","8723882621.87736","9973654986.03399",
"Andorra","AND","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2296974747.71184","1899975030.97892","2366547506.19281","",
"Arab World","ARB","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","143573044652.553","171095794923.035","215609927961.635","267749477089.906","322987947695.6","305766268003.977","291887919762.909","276637650377.034","234426427498.238","196472007878.447","197192038763.464","203962818234.963","221267871466.268","250152528717.086","296542005972.961","301147139912.582","278791141894.683","259939833586.775","280959720782.538","299996804352.581","310468393537.254","296088670465.524","293493111934.957","323651088069.317","316199380773.709","327039596880.685","368016689279.605","454986878313.951","558661769995.317","655198535660.439","809062433372.247","1019305699560.69","913934462764.138","993227686186.878","1086760737912.09","1219705047523.24","1295975616442.67","1357192664127.25","1204678245010.28","1085116659203.7","1147531436513.46","1246606285138.4","1281515801331.49","1049634097324.45","1204224957641.67","",
"United Arab Emirates","ARE","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","4058000000","5643000000","6048000000","10486000000","15999000000","16495000000","12142000000","12216000000","12406000000","11281000000","11702000000","12633000000","12932000000","13355000000","13100000000","17572000000","24077634249.3714","27579629372.765","34312430277.0946","35039569701.3158","40120789491.5782","49143879017.4701","52335695781.9799","46468565966.3738","48036724583.4385","40679614586.4015","23867070000","29804090000","40827220000","46414160000","54669095826.854","67771052886.056","82901868928.7046","63532822514.5258","86092220688.1838","106727176904.111","99396394105.1624","105893333594.436","95112247276.0498","91086748083.8309","90436820509.4734","109707500927.885","111748768383.513","90634223384.2654","66503592866.2093","84660646726.2565","112271256536.529",
