"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.33333582862451","7.31874715974837","7.24270531831179","7.16069407881989","7.06379600929184","7.05599784776945","7.09054127946598","7.06009639229653","7.01527149574635","6.93953643462879","6.8503760036099","6.80353665561531","6.74124106047488","6.53517315091514","6.37350255682969","6.34759835935351","6.28342096946086","6.23256052686116","6.29558691357936","6.93364466215657","6.71535792804545","6.59935562174995","6.51278434882641","6.55564570993812","6.70714201994761","6.85558937799669","6.94036492503842","6.91304612233971","7.12166311855541","7.63130388835244","7.92021872219359","7.91683536433004",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.121","8.168","8.123","8.111","8.26","8.165","8.089","8.082","8.07","8.054","8.04","8.186","8.122","8.053","8.113","8.054","8.108","8.022","8.082","8.068","7.947","8.019","7.949","7.91","8.989","10.086","11.18","11.11","11.085","11.71","","",
"Africa Western and Central","AFW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22459513680231","4.33546040512633","4.37212504750719","4.36689765428541","4.34899634983784","4.37953690099747","4.42111669864012","4.45491748212829","4.63777279760996","4.66642259479649","4.58178052563014","4.44873303797447","4.40596905147861","4.35256213196332","4.32149629328805","4.20305842043962","4.14827045880009","4.16744299007378","4.21507264893674","4.23577740396639","4.18882761728951","4.16755618624793","3.8044474663902","3.98587799363457","4.2411358820643","4.11295792761317","4.1404839741261","4.20159867370182","4.26141420020856","4.91414331502173","4.8736351630578","4.7421746002072",
"Angola","AGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.489","4.487","4.531","4.395","4.304","4.274","4.262","4.234","4.206","4.163","4.119","4.043","4.043","3.972","3.915","3.882","3.827","3.791","3.78","9.43","7.36","8.064","8.834","9.58","9.584","9.586","9.535","9.522","9.481","10.35","10.384","10.209",
"Albania","ALB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.307","30.015","25.258","20.84","14.611","13.931","16.876","20.047","20.84","19.028","18.575","17.895","16.989","16.31","15.97","15.63","15.97","13.06","13.67","14.09","13.48","13.38","15.87","18.05","17.19","15.42","13.62","12.3","11.47","13.067","12.683","11.808",
"Andorra","AND","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6634431372264","11.9504475441817","12.6618725941695","12.7383799774448","13.2169993999568","12.2663223830773","11.838785299235","11.8480186258407","11.9772996964515","12.447845864693","12.32400012605","12.3300848073754","12.2542941181762","11.2793412606236","11.1212580464136","10.411185451277","10.0030511906233","9.69851906421572","9.31289666228681","9.38650688490656","10.4749676149814","10.6735451306246","10.7343392713283","10.8562136631188","10.9682192689566","10.7633587834491","10.9199204443131","10.5833398623519","10.1651583217377","11.3483705415491","11.0236936255714","10.6640194008587",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.887","1.858","1.862","1.81","1.8","1.903","1.983","2.147","2.223","2.25","2.501","2.654","2.751","2.904","3.12","2.926","2.86","2.721","2.668","2.464","2.284","2.171","2.032","1.902","1.763","1.64","2.46","2.24","2.33","4.29","3.11","2.754",
"Argentina","ARG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44","6.36","10.1","11.76","18.8","17.11","14.82","12.65","14.05","15","17.32","19.59","15.36","13.52","11.51","10.08","8.47","7.84","8.65","7.71","7.18","7.22","7.1","7.27","7.524","8.109","8.35","9.22","9.84","11.46","8.74","6.491",
"Armenia","ARM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","1.8","5.3","6.6","6.7","9.3","10.8","9.4","11.2","11.055","10.933","10.81","10.625","10.347","10.218","10.001","9.81","9.997","9.894","10.542","10.917","11.298","11.531","11.862","12.177","12.426","12.944","13.21","12.2","12.18","12.729","12.557",
"American Samoa","ASM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.58","10.73","10.87","9.72","8.47","8.51","8.36","7.68","6.87","6.28","6.74","6.37","5.93","5.39","5.03","4.78","4.38","4.23","5.56","5.21","5.08","5.22","5.66","6.08","6.05","5.71","5.59","5.3","5.16","6.46","5.12","3.661",
"Austria","AUT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.42","3.59","4.25","3.54","4.34","5.28","5.15","5.48","4.7","4.69","4.01","4.85","4.78","5.83","5.63","5.24","4.86","4.13","5.3","4.82","4.56","4.87","5.34","5.62","5.72","6.01","5.5","4.85","4.49","5.36","6.18","4.707",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.8","4.5","6.3","7.2","8.1","9.1","10","10.9","11.78","10.91","10.04","9.17","7.99","7.26","6.62","6.33","5.86","5.74","5.63","5.42","5.19","4.97","4.91","4.96","5","4.96","4.94","4.85","7.16","5.95","5.462",
